id,name,description,1st_tx_year,broadcaster_name,broadcaster_id,show_name,show_id,lat_long,country,audio_url,producer_1,producer_id,producer_2,producer_2_id,producer_3,producer_3_id,NOTES,
A1,Springtime It Brings On The Shearing,"A type of radio documentary, but one where the event is seen as through a pane of old and imperfect glass: time, distance and memory combine to blur the image. The reality is always - slightly - out of focus.Shearers have been shearing sheep in almost the same way since Europeans first came to Australia. Shearing is a centre of white Australian memory.'When we were children, we used to go to the shearing sheds, sometimes.' Something to do with history. Something to do with time. Producer Kaye Mortley; Sound Engineer Philip Ulman",1987,ABC,B1,Radio eye,S23,"-31.146530,147.302120",Australia,http://www.abc.net.au/radionational/programs/radioeye/springtime-it-brings-on-the-shearing/3341596,Kaye Mortley ,P2,,,,,,
A2,The Curse,,,DR,B8,,,"55.6575405,12.5883767",Denmark,,Stephen Schwartz,P3,,,,,,
A3,Under Milk Wood,,1954,BBC Third Programme,B2,,,"52.130661,-3.783712",UK,,Dylan Thomas,P7,Douglas Cleverdon,P8,,,,
A4,Swimming in Snafu,,,WBEZ,B4,Re:Sound,S1,"41.8721281,-87.6842831",USA,https://www.thirdcoastfestival.org/explore/feature/water-show,Meagan Perry,P5,Delaney Hall,P12,,,,
A5,The Yalta Game,,,RTR Radio Russia,B3,,,"55.7418896,37.5605662",Russia,,Dmitriy Nikolaev,P6,,,,,,
A6,Leonard and Marianne,,2008,BBC Radio 4,B5,,,"51.5188884,-0.1461194",UK,https://soundcloud.com/fallingtreeproductions/leonard-and-marianne,Alan Hall,P9,Kari Hesthamar,P13,,,,
A7,How the Stories,,,,,,,"56.058838,-2.714396",UK,,Matt Thompson,P10,,,,,,
A8,A Dancer Dies Twice,,2016,BBC Radio 4,B5,,,"51.5188884,-0.1461194",UK,https://soundcloud.com/fallingtreeproductions/a-dancer-dies-twice,Eleanor McDowall,P11,,,,,,
A9,Leaps and Dunes,,2000,DR,B8,,,"55.6575405,12.5883767",Denmark,http://www.radioatlas.org/leaps-and-dunes/,Rikke Houd,P1,Sabine Hviid,P14,Lisbet Koerner,P15,,
A10,Afternoon Delight,,2013,CKUT,B14,Audio Smut,S2,"45.5080843,-73.5816767",Canada,http://www.theheartradio.org/audio-smut/2015/1/2/afternoon-delight,Kaitlin Prest,P16,,,,,,
A11,Who Killed Lolita,,2009,ARTE Radio,B6,,,"43.2362,5.8475",France,http://www.radioatlas.org/who-killed-lolita/,Anouk Batard,P17,Mehdi Ahoudig,P18,,,,
A12,"Hearts, Lungs and Minds","In 2007 sound artist John Wynne was artist-in-residence for one year at Harefield Hospital in Middlesex, one of the world's leading centres for heart and lung transplantation. He worked with patients to capture their experiences, recording the sonic environment of the hospital itself and, with the help of medical techinicians, recorded devices such as VADs (Ventricular Assist Devices) both internally and externally. John Wynne uses these recordings as compositional elements, revealing a world in which aural objects shift and surprise and where the listener is invited to explore deep within sound itself. First broadcast 21st June 2008 BBC Radio 3 Produced by John Wynne",2008,BBC Radio 3,B7,,,"51.607385,-0.481855",UK,https://soundcloud.com/fallingtreeproductions/hearts-lungs-and-minds,John Wynne,P19,,,,,,
