id,name,lat_long,country,bio,year_began_producing,year_ended_producing,Works_for_id,url,image,recomends_1,recomends_1_quote,recomends_2,recomends_2_quote,recomends_3,recommends_3 _quote,recomends_4,recomends_4_quote,recomends_5,recomends_5_quote,producer_body_of_work_pick 
P9,Alan Hall,"51.464885, 0.009835",UK,"Alan Hall is the founder of Falling Tree Productions in London. He has been producing radio since 1990 and has built a reputation for long-form documentaries, music features and äóÖimpressionistic radioäó». His programmes have received multiple Prix Italias, Prix Europas, Sony Radio Academy Gold Awards and Third Coast Awards. He also lectures and writes äóñ including a chapter in Radio Reality: Telling True Stories in Sound. He lists a sound + vision influence  as well: Jacques Brel singing Ne me quite pas in a cafe in one long slow zoom in to his eyes for the last verse (Jacques Brel's Alive and Well and Living in Paris). Hold the gaze ... focus ... all wil be revealed. Alive and Well and Living in Paris on YouTube.",1990,,C1,www.fallingtree.co.uk,P4,A14,"This blew my ears off as a callow 20-something BBC producer. Cockroach uses language(s) as sound texture, pure sound as narrative, narrative as something not literal, non linear, non-sensicaläó_",A15,"Showed me how you can do a current affairs as a piece of art äóñ I respond to that a lot. The music isnäó»t incidental, it's part of the narrativeThis piece influenced me in that I literally ripped off the idea of a commissioned song to get me out of a hole when no one from the band Queen would talk to me for a programme about Bohemian Rhapsody! I'd heard the Lord God Bird at Third Coastäó_ and my Rhapsody in Bohemia then won something there 12 months later! ",A16,"For how to handle sense, language, the meaning between utterances, this is a masterclass. How it handles translation and additional meanings through a composite language comprised of multiple languages. From my musical background this piece brings to mind a technique called äóÖhocketingäó», where a musical melody is made up of not just one instrument or voice but a few alternating parts that combine to build the whole. Beyond literal-language, Rikke is a master [ed.? mistress?] at allowing sound to carry narrative meaning. ",A17,"I havenäó»t heard this since 1996, yet I still feel the influence of it. I love the idea of radio as an art form that is composed from the full palette available to drama, music, documentary and everyone else in the building. These are assembled in a collaborative way in the studio, so there something about the *making* that I liked. It shows the ambition of the medium. Non-linear (a theme in my influences). Process (all thatäó»s available).  And a mediation on a abstract idea rather than a narrative or characteräó_ Represents the importance of being fed internationally, being open to alien sensibilities. The constituency for this work is äóÖsupra-nationaläó».",A18,"A quietly profound innovation in how to cover a complex issue äóñ race äóñ through the personal investment of the producer/host (who lays himself open to challenge), without compromising the journalism or (and this is crucial) turning the spotlight on himself. John, in this series, serves the subject and does us all a massive and timely favour. start with Ep1 (Turning the Lens) and listen through ...",
P76,Alessandro Bosetti,"45.464204, 9.189982",,,,,,,,,,,,,,,,,,
P51,Alix Spiegel,"40.712784, -74.005941",,,,,,,,,,,,,,,,,,
P42,Allan Ashbolt,"-33.868820, 151.209296",Australia,"1921äóñ2005. Best known in radio circles for his 1957 landmark documentary, A Study in Attitudes, about racial prejudice in Moree, he subsequently became head of Department of Radio Special Projects, known as ""Ashbolt's kindergarten."" He was also known for getting the leader of the Australian Nazi party in a headlock at an anti-Vietnam war protest. Although he retired from a brilliant and turbulent career in the ABC during the late 1970s, his impact on broadcasting endured for decades in programs such as Late Night Live, Background Briefing, and Four Corners. When he passed away in 2005 obituaries described him variously as a Marxist and the most censored man in the ABC. ",1954,1979,B1,http://www.smh.com.au/news/Obituaries/Radical-giant-of-Australian-broadcasting/2005/06/14/1118645805607.html,,,,,,,,,,,,
P17,Anouk Batard,"48.856614, 2.352222",,,,,,,,,,,,,,,,,,
P84,Benjamen Walker,"40.712784, -74.005941",USA,"Benjamen Walker is a independent radio producer. His work has aired on NPR, the BBC, the CBC and the ABC. He also produced Big Ideas, a philosophy podcast for The Guardian. He created his first podcast in 2004 while working at the Berkman center for Internet and Society at the Harvard Law School. He has been a guest speaker and fellow at various festivals and international institutions (Sydney Writersäó» Festival, Les subsistances in Lyon, France, Poets House, Tow Center at Columbia University, Oorzaken Festival in Amsterdam). He also teaches in the Journalism and design program at the New School.",,,,,,,,,,,,,,,,
P48,Berit Hedemann,"59.9355254,10.7219474",Norway,"Born 1949. Master in Norwegian language and literature. In NRK since 1973.Two daughters. Started up the Radio Documentary department in NRK, and made radio documentaries for 10 years, and was then head of the Documentary Department for 10 years. Has also been head of the Childrens Radio Department. Head of the Ake Blomstrom Memorial prize for 4 years. Has been teaching dramaturgy and storytelling for journalist in all the big newspapers in Norway and many foreign countries, among them: Jordan, Turky, USA, Great Britain, Austria, Ireland, Finland, Sweeden, Denmark and the Netherlands.",1973,2015,B11,https://no.wikipedia.org/wiki/Berit_Hedemann,P48i,A38,,,,,,,,,,
P57,Brian Eno,"51.507351, -0.127758",,,,,,,,,,,,,,,,,,
P4,Cathy Fitzgerald,"51.608721, -0.869587",UK,"Cathy FitzGerald made her first radio documentary äóñ äóÖThe Magic Carpet Flight Manualäó» äóñ in 2010, and has since won Whicker's World Foundation, Prix Marulic, Third Coast Festival and Radio Academy Production awards for BBC programmes on topics including angry Vietnamese ghosts, reindeer-racing, and a museum of broken hearts. Sheäó»s a member of The New BBC Radiophonic Workshop and the Caretaker of Strange & Charmed, a little school for audio storytelling in the Chilterns. She also presents and produces äóÖMoving Picturesäó», a recurring series for BBC Radio 4 made in collaboration with Google Arts & Culture. Sheäó»s created websites, audio tours and podcasts for many of the UKäó»s major cultural institutions including The National Gallery, Tate Modern, the Imperial War Museum and the V&A.The Telegraph described her work as äóÖalways surprising and intriguingäó», while the Radio Times calls her äóÖone of radioäó»s most original voicesäó». She has a PhD in the work of Charles Dickens. ",2010,,,https://cathyfitzgerald.co.uk/ | www.strangeandcharmed.co.uk,,A4,My touchstone. Because itäó»s a bottled moment: intense and joyful and just a tiny bit dangerous. It reminds me that I want to make stories that are delightful and mischievous.,A5,"The two actors in this radio drama make all the sound effects äóñ seagulls, little dogs etc äóñ as they work. Itäó»s wonderfully playful and a brilliant way to foreground and undercut the thespiness of radio drama at the same time. I heard it at the Prix Marulic in 2014; I was sitting in a shady patch in the old church-yard.",A6,I was driving along the M4 in heavy rain to see an old boyfriend and I switched on Radio 4. Not something I did a lot back then because it bored me äóñ it was so didactic. I got pulled into this documentary and at the end I thought: äóìradio can be like that? Maybe there is room for meäó_äóù,A7,A documentary about ideas äóñ told through stories. I like its artful simplicity as well. Some times people get so into sound design they forget itäó»s really all about the truth and heart of whatäó»s being said. Matt never does.,A8,"For the wonderful, wonderful, wonderful dance scene when music and speech and effects work (seemingly) effortlessly together. Thatäó»s so hard to do! And because sheäó»s my friend and is constantly enlarging and deepening the way I think about this weird thing we do.",
P59,Chris Brookes,"47.568491, -52.688890",Canada,"Chris Brookes is an author, storyteller and independent radio producer whose documentary features have won over forty international awards including the Peabody Award Œæand the Prix Italia, and have been broadcast around the world.He has directed documentaries for Canadian network television, is a published author and playwright, and has taught documentary storytelling at festivals and workshops across North America and Europe.Œæ As a sound artist, his audio art has been exhibited at international festivals and released on CD. He was formerly artistic director of the Mummers Troupe Theatre of Newfoundland and pioneered the use of theatre as a vehicle for community development.  He has also produced radio drama for CBC. He has been inducted to the Nfld & Labrador Arts Hall of Fame, holds an honorary doctorate from Memorial University of Newfoundland, and is a recipient of the Order of Canada. Brookes currently directs the production company Battery Radio with studios at the bottom of the cliff where Marconi received the first trans-Atlantic wireless message in St. John's, Newfoundland.Œæ ",,,,,,A56,"I first heard this when I was a young field producer for a national radio current affairs show, donkeys years ago in the '80's. Eno & Byrne's use of documentary sound (preachers, radio call-in shows, etc) to make music was inspirational to a guy crafting straight information documentaries. I was editing 1/4-inch tape and obsessed with making meaningful linear narratives; they were sampling (in what was then an analog universe) and rocking the house down. It was like audio amphetamine, using documentary sources for sound, rhythm and dance more than for narrative meaning.",A47,"I heard this at the first International Feature Conference I attended, in Berlin, in 1992, at a time when I wasn't sure what this thing called a ""feature"" was. I was used to a Canadian radio environment where mix scripts commonly had instructions like ""fade sound under voice"". So I was perplexed by the way Harri would abruptly drop a sound bed under a voiced narration - just a sharp 15db drop, boom. I remember going up to him afterwards and asking if it was a mistake, an early rough version of the mix. He fixed me with his slow Finnish stare, and said ""I got bored with fades."" It dawned on me that I could be free to create a feature in any way I liked, rather than being primarily concerned with what some imagined listenership expected. Easier to do if you're a tenured producer with a public broadcaster, harder if you're a freelancer trying to push a radically different mix past a commissioning editor. But it nudged me out of subservience to middle-of-the-road listener expectations.",A1,"I heard Kaye's masterpiece at the Grenzelaus Gelaut (I think my spelling is wrong) audio festival in Amsterdam, late '90's. It was late one night, I was by myself in a small listening room, it was dark, and I'd never heard anything remotely like it. It is an absolutely brilliant work, and it completely transported me. I remember walking slowly back to my hotel through a park as if I were levitating. The sound, and the way her voice juxtaposes to the sound. The Russian film director Sergei Eisenstein wrote about a dialectical theory of editing, and Kaye's piece showed me how that works - juxtapositions with an irresistable magnetism that pulls the listener into the 4-dimensional world of the program. Magnificent.",A28,"So much has been written about this piece that there's nothing new I can add. The descant of the bells, the sharp cut from bell to artillery, the way sound leads the storytelling (despite the heavy boots of the Germanic narrator). It was new to me when I first heard it 30 years ago, and it's still pretty special to my ears.",A11,"Probably the most luminescent work I've heard in recent years. It's a magical piece, the atmospherics of the sound combining with an almost religious suggestibility about a tragic death in a Cape Verdean community in France. A piece like this could have fallen into the trap of a flat detective story, instead it phrases wonderful and heart-searing questions, provides no answers. It has a kind of transcendental clockwork that I tried to write about for the RadioDoc Review",
